name,patent_count,rank
"SAMSUNG DISPLAY CO., LTD.",10089,1
International Business Machines Corporation,9246,2
CANON KABUSHIKI KAISHA,5210,3
SONY GROUP CORPORATION,3659,4
Fujitsu Limited,3275,5
Kabushiki Kaisha Toshiba,3049,6
General Electric Company,2935,7
Intel Corporation,2925,8
LG ELECTRONICS INC.,2794,9
"HITACHI, LTD.",2791,10
MITSUBISHI ELECTRIC CORPORATION,2582,11
QUALCOMM Incorporated,2387,12
TOYOTA JIDOSHA KABUSHIKI KAISHA,2315,13
"SUMITOMO ELECTRIC INDUSTRIES, LTD.",2306,14
"Taiwan Semiconductor Manufacturing Company, Ltd.",2294,15
NEC CORPORATION,2180,16
"Micron Technology, Inc.",2174,17
Apple Inc.,2168,18
SEIKO EPSON CORPORATION,1988,19
GOOGLE LLC,1824,20
"HONDA MOTOR CO., LTD.",1811,21
Siemens Aktiengesellschaft,1786,22
"RICOH COMPANY, LTD.",1701,23
Robert Bosch GmbH,1674,24
Texas Instruments Incorporated,1665,25
