sector,field,patent_count
Chemistry,Organic fine chemistry,33961
Electrical engineering,"Electrical machinery, apparatus, energy",29555
Instruments,Measurement,24447
Mechanical engineering,Other special machines,18296
Mechanical engineering,Handling,17576
Mechanical engineering,Machine tools,15662
Chemistry,"Macromolecular chemistry, polymers",15650
Mechanical engineering,Transport,15245
Mechanical engineering,Mechanical elements,14876
Mechanical engineering,"Engines, pumps, turbines",14671
Chemistry,Basic materials chemistry,14064
Other fields,Civil engineering,13640
Chemistry,"Materials, metallurgy",13405
Chemistry,Chemical engineering,13305
Instruments,Optics,12583
Instruments,Medical technology,12057
Other fields,"Furniture, games",11400
Mechanical engineering,Textile and paper machines,11184
Electrical engineering,Audio-visual technology,10677
Other fields,Other consumer goods,8032
